epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1604.09,1.05798,3.81622,1.40173,0.66291,0.23881,0.11549,0.0564,1.65357,7.51268,2.23971,0.000474065,0.000474065,0.000474065
2,2812.05,0.90767,2.71599,1.27127,0.67438,0.19403,0.15811,0.11183,1.07518,4.37322,1.50111,0.000903354,0.000903354,0.000903354
3,4110.5,0.86084,1.99727,1.23409,0.69999,0.31343,0.25431,0.18813,1.02913,3.10994,1.44872,0.00128549,0.00128549,0.00128549
4,5349.44,0.8097,1.74147,1.19704,0.68952,0.08955,0.07595,0.04836,1.95759,3.63763,2.16159,0.00121679,0.00121679,0.00121679
5,6603.39,0.77932,1.53746,1.15927,0.29778,0.27612,0.30589,0.2543,0.75337,2.01647,1.17272,0.00114606,0.00114606,0.00114606
6,7847.28,0.70206,1.40853,1.10729,0.12026,0.23881,0.15148,0.11738,0.75483,2.48778,1.1564,0.00107532,0.00107532,0.00107532
7,8965.79,0.63512,1.4726,1.09427,0.21931,0.25373,0.18186,0.14399,0.85399,2.08594,1.20054,0.00100459,0.00100459,0.00100459
8,10086.4,0.62936,1.29026,1.06882,0.28776,0.31367,0.29629,0.26527,0.65195,1.55841,1.06297,0.000933851,0.000933851,0.000933851
9,11364.4,0.57953,1.22168,1.04633,0.27242,0.37519,0.32359,0.27716,0.61434,1.56149,1.04649,0.000863116,0.000863116,0.000863116
10,12756.2,0.53508,1.09992,1.03561,0.25352,0.34328,0.30303,0.2688,0.6408,1.66584,1.04785,0.00079238,0.00079238,0.00079238
11,14112,0.50362,1.12932,1.03267,0.2564,0.3209,0.31351,0.27323,0.62193,1.65971,1.02725,0.000721645,0.000721645,0.000721645
12,15930.5,0.47219,1.2543,1.00133,0.29933,0.36567,0.33894,0.28765,0.64904,1.39729,1.04299,0.000650909,0.000650909,0.000650909
13,17097.8,0.43972,1.26055,0.97275,0.33549,0.32836,0.36398,0.33543,0.4863,1.28777,0.9045,0.000580174,0.000580174,0.000580174
14,18331.7,0.44286,1.09938,0.97475,0.3498,0.34762,0.36075,0.32983,0.51086,1.28736,0.92283,0.000509438,0.000509438,0.000509438
15,19592.4,0.38034,0.97076,0.95763,0.35285,0.37313,0.36539,0.33732,0.5506,1.24982,0.93655,0.000438703,0.000438703,0.000438703
16,20756.7,0.36388,0.98878,0.9331,0.31942,0.30597,0.35589,0.31766,0.51766,1.58777,0.92032,0.000367967,0.000367967,0.000367967
17,21791,0.36646,0.81858,0.95192,0.30702,0.35619,0.36463,0.33596,0.47308,1.22029,0.89686,0.000297232,0.000297232,0.000297232
18,22778.1,0.33848,0.72602,0.9265,0.34773,0.40902,0.39629,0.36058,0.47851,1.14352,0.90983,0.000226497,0.000226497,0.000226497
19,23753.4,0.31187,0.7612,0.91242,0.37081,0.37313,0.39878,0.37488,0.43406,1.00325,0.86717,0.000155761,0.000155761,0.000155761
20,24730.4,0.28994,0.73069,0.90764,0.37027,0.36213,0.40165,0.38014,0.41593,1.02072,0.85775,8.50255e-05,8.50255e-05,8.50255e-05
